#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
chebi:"CHEBI:263911"	uniprotkb:P13612	-	-	chembl:CHEMBL98599|unknown:"InChI=1S/C34H42N4O8/c1-23-9-5-6-10-27(23)37-34(43)35-26-14-11-24(12-15-26)19-32(40)38(17-7-8-18-44-2)22-31(39)36-28(21-33(41)42)25-13-16-29(45-3)30(20-25)46-4/h5-6,9-16,20,28H,7-8,17-19,21-22H2,1-4H3,(H,36,39)(H,41,42)(H2,35,37,43)/t28-/m0/s1"|unknown:ATIKCNMCFMFEID-NDEPHWFRSA-N|unknown:"COCCCCN(CC(=O)N[C@@H](CC(=O)O)c1ccc(OC)c(OC)c1)C(=O)Cc2ccc(NC(=O)Nc3ccccc3C)cc2"|unknown:chembl98599	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Wattanasin et al (2001)	pubmed:11677134	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL818046	chembl:low(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:264060"	uniprotkb:P13612	-	-	chembl:CHEMBL100665|unknown:"InChI=1S/C32H38N4O5/c1-21(2)17-26(19-30(38)35-28(20-31(39)40)24-10-5-4-6-11-24)33-29(37)18-23-13-15-25(16-14-23)34-32(41)36-27-12-8-7-9-22(27)3/h4-16,21,26,28H,17-20H2,1-3H3,(H,33,37)(H,35,38)(H,39,40)(H2,34,36,41)/t26-,28-/m0/s1"|unknown:ZJRMRCYIFRIMFI-XCZPVHLTSA-N|unknown:"CC(C)C[C@@H](CC(=O)N[C@@H](CC(=O)O)c1ccccc1)NC(=O)Cc2ccc(NC(=O)Nc3ccccc3C)cc2"|unknown:chembl100665	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Wattanasin et al (2001)	pubmed:11677134	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL818046	chembl:low(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:263758"	uniprotkb:P13612	-	-	chembl:CHEMBL100519|unknown:"InChI=1S/C31H36N4O6/c1-22-9-6-7-12-26(22)34-31(40)32-25-15-13-23(14-16-25)19-29(37)35(17-8-18-41-2)21-28(36)33-27(20-30(38)39)24-10-4-3-5-11-24/h3-7,9-16,27H,8,17-21H2,1-2H3,(H,33,36)(H,38,39)(H2,32,34,40)/t27-/m0/s1"|unknown:CLEAZBBIJLPKIP-MHZLTWQESA-N|unknown:"COCCCN(CC(=O)N[C@@H](CC(=O)O)c1ccccc1)C(=O)Cc2ccc(NC(=O)Nc3ccccc3C)cc2"|unknown:chembl100519	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Wattanasin et al (2001)	pubmed:11677134	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL818053|chembl:CHEMBL818052|chembl:CHEMBL818045|chembl:CHEMBL818046	chembl:high(ChEMBL given confidence)|chembl:low(ChEMBL given confidence)|chembl:medium(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:220719"	uniprotkb:P13612	-	-	chembl:CHEMBL306827|unknown:"InChI=1S/C29H30F3N3O6S/c1-40-24-9-6-10-25(41-2)26(24)20-13-11-19(12-14-20)17-22(28(36)37)34-27(33-18-29(30,31)32)23-15-16-35(23)42(38,39)21-7-4-3-5-8-21/h3-14,22-23H,15-18H2,1-2H3,(H,33,34)(H,36,37)/t22-,23-/m0/s1"|unknown:DHLWZPYEINGBFR-GOTSBHOMSA-N|unknown:"COc1cccc(OC)c1c2ccc(C[C@H](N=C(/NCC(F)(F)F)[C@@H]3CCN3S(=O)(=O)c4ccccc4)C(=O)O)cc2"|unknown:chembl306827	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Kamenecka et al (2004)	pubmed:15081033	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL815427|chembl:CHEMBL820361	chembl:medium(ChEMBL given confidence)|chembl:low(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:220434"	uniprotkb:P13612	-	-	chembl:CHEMBL74437|unknown:"InChI=1S/C28H31N3O8S2/c1-38-24-10-7-11-25(39-2)26(24)20-14-12-19(13-15-20)18-22(28(32)33)29-27(30-40(3,34)35)23-16-17-31(23)41(36,37)21-8-5-4-6-9-21/h4-15,22-23H,16-18H2,1-3H3,(H,29,30)(H,32,33)/t22-,23-/m0/s1"|unknown:YPBWVSWHQCEYGY-GOTSBHOMSA-N|unknown:"COc1cccc(OC)c1c2ccc(C[C@H](N=C(/NS(=O)(=O)C)[C@@H]3CCN3S(=O)(=O)c4ccccc4)C(=O)O)cc2"|unknown:chembl74437	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Kamenecka et al (2004)	pubmed:15081033	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL815427|chembl:CHEMBL820361	chembl:medium(ChEMBL given confidence)|chembl:low(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:220509"	uniprotkb:P13612	-	-	chembl:CHEMBL76119|unknown:"InChI=1S/C27H26Cl2N2O7S/c1-37-23-4-3-5-24(38-2)25(23)17-8-6-16(7-9-17)12-21(27(33)34)30-26(32)22-10-11-31(22)39(35,36)20-14-18(28)13-19(29)15-20/h3-9,13-15,21-22H,10-12H2,1-2H3,(H,30,32)(H,33,34)/t21-,22-/m0/s1"|unknown:PALKXFSSVDMBNG-VXKWHMMOSA-N|unknown:"COc1cccc(OC)c1c2ccc(C[C@H](NC(=O)[C@@H]3CCN3S(=O)(=O)c4cc(Cl)cc(Cl)c4)C(=O)O)cc2"|unknown:chembl76119	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)|psi-mi:"MI:0401"(biochemical)	Kamenecka et al (2004)|Hagmann et al (2001)	pubmed:15081033|pubmed:11591507	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)|psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL815427|chembl:CHEMBL820361|chembl:CHEMBL821055	chembl:medium(ChEMBL given confidence)|chembl:low(ChEMBL given confidence)|chembl:high(ChEMBL given confidence)|miscore:0.5892287
chebi:"CHEBI:221322"	uniprotkb:P13612	-	-	chembl:CHEMBL74321|unknown:"InChI=1S/C29H31N3O8S/c1-39-24-9-6-10-25(40-2)27(24)20-13-11-19(12-14-20)17-22(29(35)36)31-28(30-18-26(33)34)23-15-16-32(23)41(37,38)21-7-4-3-5-8-21/h3-14,22-23H,15-18H2,1-2H3,(H,30,31)(H,33,34)(H,35,36)/t22-,23-/m0/s1"|unknown:QFXPVNGZVLYJEY-GOTSBHOMSA-N|unknown:"COc1cccc(OC)c1c2ccc(C[C@H](N=C(/NCC(=O)O)[C@@H]3CCN3S(=O)(=O)c4ccccc4)C(=O)O)cc2"|unknown:chembl74321	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Kamenecka et al (2004)	pubmed:15081033	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL815427|chembl:CHEMBL820361	chembl:medium(ChEMBL given confidence)|chembl:low(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:221111"	uniprotkb:P13612	-	-	chembl:CHEMBL73986|unknown:"InChI=1S/C26H21Cl4N3O6S/c27-15-11-16(28)13-18(12-15)40(38,39)33-9-8-22(33)24(34)32-21(26(36)37)10-14-4-6-17(7-5-14)31-25(35)23-19(29)2-1-3-20(23)30/h1-7,11-13,21-22H,8-10H2,(H,31,35)(H,32,34)(H,36,37)/t21-,22-/m0/s1"|unknown:VPIVICLWCZPBIT-VXKWHMMOSA-N|unknown:"OC(=O)[C@H](Cc1ccc(NC(=O)c2c(Cl)cccc2Cl)cc1)NC(=O)[C@@H]3CCN3S(=O)(=O)c4cc(Cl)cc(Cl)c4"|unknown:chembl73986	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Lin et al (2004)	pubmed:15081035	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL815425|chembl:CHEMBL815426|chembl:CHEMBL820360	chembl:medium(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:220758"	uniprotkb:P13612	-	-	chembl:CHEMBL265778|unknown:"InChI=1S/C26H19Cl4N3O6S/c27-14-10-15(28)12-16(11-14)40(37,38)33-7-6-21(33)24(34)31-20(26(35)36)8-13-4-5-19-22(9-13)39-25(32-19)23-17(29)2-1-3-18(23)30/h1-5,9-12,20-21H,6-8H2,(H,31,34)(H,35,36)/t20-,21-/m0/s1"|unknown:BMWLPSHBOYUODM-SFTDATJTSA-N|unknown:"OC(=O)[C@H](Cc1ccc2nc(oc2c1)c3c(Cl)cccc3Cl)NC(=O)[C@@H]4CCN4S(=O)(=O)c5cc(Cl)cc(Cl)c5"|unknown:chembl265778	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Lin et al (2004)	pubmed:15081035	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL815425|chembl:CHEMBL815426|chembl:CHEMBL820360	chembl:medium(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:220459"	uniprotkb:P13612	-	-	chembl:CHEMBL77586|unknown:"InChI=1S/C22H13Cl4N3O4/c23-11-2-1-3-12(24)19(11)21-29-15-6-10(4-5-17(15)33-21)7-16(22(31)32)28-20(30)18-13(25)8-27-9-14(18)26/h1-6,8-9,16H,7H2,(H,28,30)(H,31,32)/t16-/m0/s1"|unknown:OCIRIHRFAHXBIT-INIZCTEOSA-N|unknown:"OC(=O)[C@H](Cc1ccc2oc(nc2c1)c3c(Cl)cccc3Cl)NC(=O)c4c(Cl)cncc4Cl"|unknown:chembl77586	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Lin et al (2004)	pubmed:15081035	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL815425|chembl:CHEMBL815426|chembl:CHEMBL820360	chembl:medium(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:220498"	uniprotkb:P13612	-	-	chembl:CHEMBL76295|unknown:"InChI=1S/C26H20Cl4N4O5S/c27-14-10-15(28)12-16(11-14)40(38,39)34-7-6-22(34)25(35)33-21(26(36)37)9-13-4-5-19-20(8-13)32-24(31-19)23-17(29)2-1-3-18(23)30/h1-5,8,10-12,21-22H,6-7,9H2,(H,31,32)(H,33,35)(H,36,37)/t21-,22-/m0/s1"|unknown:UTLDJUNUIMQLSJ-VXKWHMMOSA-N|unknown:"OC(=O)[C@H](Cc1ccc2[nH]c(nc2c1)c3c(Cl)cccc3Cl)NC(=O)[C@@H]4CCN4S(=O)(=O)c5cc(Cl)cc(Cl)c5"|unknown:chembl76295	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Lin et al (2004)	pubmed:15081035	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL815425|chembl:CHEMBL815426|chembl:CHEMBL820360	chembl:medium(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:221075"	uniprotkb:P13612	-	-	chembl:CHEMBL420936|unknown:"InChI=1S/C27H29N3O6S/c1-35-23-9-6-10-24(36-2)25(23)19-13-11-18(12-14-19)17-21(27(31)32)29-26(28)22-15-16-30(22)37(33,34)20-7-4-3-5-8-20/h3-14,21-22H,15-17H2,1-2H3,(H2,28,29)(H,31,32)/t21-,22-/m0/s1"|unknown:IILNCTZMDUGCHL-VXKWHMMOSA-N|unknown:"COc1cccc(OC)c1c2ccc(C[C@H](N=C(/N)[C@@H]3CCN3S(=O)(=O)c4ccccc4)C(=O)O)cc2"|unknown:chembl420936	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Kamenecka et al (2004)	pubmed:15081033	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL815427|chembl:CHEMBL820361	chembl:medium(ChEMBL given confidence)|chembl:low(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:221077"	uniprotkb:P13612	-	-	chembl:CHEMBL305709|unknown:"InChI=1S/C28H31N3O6S/c1-29-27(23-16-17-31(23)38(34,35)21-8-5-4-6-9-21)30-22(28(32)33)18-19-12-14-20(15-13-19)26-24(36-2)10-7-11-25(26)37-3/h4-15,22-23H,16-18H2,1-3H3,(H,29,30)(H,32,33)/t22-,23-/m0/s1"|unknown:VHCXDXCCKVQHGO-GOTSBHOMSA-N|unknown:"CNC(=N/[C@@H](Cc1ccc(cc1)c2c(OC)cccc2OC)C(=O)O)[C@@H]3CCN3S(=O)(=O)c4ccccc4"|unknown:chembl305709	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Kamenecka et al (2004)	pubmed:15081033	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL815427|chembl:CHEMBL820361	chembl:medium(ChEMBL given confidence)|chembl:low(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:220347"	uniprotkb:P13612	-	-	chembl:CHEMBL312369|unknown:"InChI=1S/C28H31N3O7S/c1-36-24-10-7-11-25(37-2)26(24)20-14-12-19(13-15-20)18-22(28(32)33)29-27(30-38-3)23-16-17-31(23)39(34,35)21-8-5-4-6-9-21/h4-15,22-23H,16-18H2,1-3H3,(H,29,30)(H,32,33)/t22-,23-/m0/s1"|unknown:ZGVJXSGTZGDJNP-GOTSBHOMSA-N|unknown:"CONC(=N/[C@@H](Cc1ccc(cc1)c2c(OC)cccc2OC)C(=O)O)[C@@H]3CCN3S(=O)(=O)c4ccccc4"|unknown:chembl312369	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Kamenecka et al (2004)	pubmed:15081033	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL815427|chembl:CHEMBL820361	chembl:medium(ChEMBL given confidence)|chembl:low(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:220433"	uniprotkb:P13612	-	-	chembl:CHEMBL74958|unknown:"InChI=1S/C28H28N4O6S/c1-37-24-9-6-10-25(38-2)26(24)20-13-11-19(12-14-20)17-22(28(33)34)31-27(30-18-29)23-15-16-32(23)39(35,36)21-7-4-3-5-8-21/h3-14,22-23H,15-17H2,1-2H3,(H,30,31)(H,33,34)/t22-,23-/m0/s1"|unknown:NRCSJBQFSDHCEF-GOTSBHOMSA-N|unknown:"COc1cccc(OC)c1c2ccc(C[C@H](N=C(/NC#N)[C@@H]3CCN3S(=O)(=O)c4ccccc4)C(=O)O)cc2"|unknown:chembl74958	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Kamenecka et al (2004)	pubmed:15081033	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL815427|chembl:CHEMBL820361	chembl:medium(ChEMBL given confidence)|chembl:low(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:220472"	uniprotkb:P13612	-	-	chembl:CHEMBL407284|unknown:"InChI=1S/C33H34N4O6S/c1-42-29-12-8-13-30(43-2)31(29)24-16-14-23(15-17-24)21-27(33(38)39)36-32(35-22-25-9-6-7-19-34-25)28-18-20-37(28)44(40,41)26-10-4-3-5-11-26/h3-17,19,27-28H,18,20-22H2,1-2H3,(H,35,36)(H,38,39)/t27-,28-/m0/s1"|unknown:FRBLHLSRAGISCU-NSOVKSMOSA-N|unknown:"COc1cccc(OC)c1c2ccc(C[C@H](N=C(/NCc3ccccn3)[C@@H]4CCN4S(=O)(=O)c5ccccc5)C(=O)O)cc2"|unknown:chembl407284	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Kamenecka et al (2004)	pubmed:15081033	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL815427|chembl:CHEMBL820361	chembl:medium(ChEMBL given confidence)|chembl:low(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:221103"	uniprotkb:P13612	-	-	chembl:CHEMBL310044|unknown:"InChI=1S/C27H27Cl2N3O6S/c1-37-23-4-3-5-24(38-2)25(23)17-8-6-16(7-9-17)12-21(27(33)34)31-26(30)22-10-11-32(22)39(35,36)20-14-18(28)13-19(29)15-20/h3-9,13-15,21-22H,10-12H2,1-2H3,(H2,30,31)(H,33,34)/t21-,22-/m0/s1"|unknown:NMSNKTZATNZHLY-VXKWHMMOSA-N|unknown:"COc1cccc(OC)c1c2ccc(C[C@H](N=C(/N)[C@@H]3CCN3S(=O)(=O)c4cc(Cl)cc(Cl)c4)C(=O)O)cc2"|unknown:chembl310044	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Kamenecka et al (2004)	pubmed:15081033	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL815427|chembl:CHEMBL820361	chembl:medium(ChEMBL given confidence)|chembl:low(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:221528"	uniprotkb:P13612	-	-	chembl:CHEMBL77623|unknown:"InChI=1S/C27H25Cl2NO8S/c1-36-22-4-3-5-23(37-2)25(22)17-8-6-16(7-9-17)12-24(26(31)32)38-27(33)21-10-11-30(21)39(34,35)20-14-18(28)13-19(29)15-20/h3-9,13-15,21,24H,10-12H2,1-2H3,(H,31,32)/t21-,24-/m0/s1"|unknown:OJWDFZSPLVZDIH-URXFXBBRSA-N|unknown:"COc1cccc(OC)c1c2ccc(C[C@H](OC(=O)[C@@H]3CCN3S(=O)(=O)c4cc(Cl)cc(Cl)c4)C(=O)O)cc2"|unknown:chembl77623	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Kamenecka et al (2004)	pubmed:15081033	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL815427|chembl:CHEMBL820361	chembl:medium(ChEMBL given confidence)|chembl:low(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:220551"	uniprotkb:P13612	-	-	chembl:CHEMBL310480|unknown:"InChI=1S/C28H28Cl2N2O7S/c1-31(27(33)22-11-12-32(22)40(36,37)21-15-19(29)14-20(30)16-21)23(28(34)35)13-17-7-9-18(10-8-17)26-24(38-2)5-4-6-25(26)39-3/h4-10,14-16,22-23H,11-13H2,1-3H3,(H,34,35)/t22-,23-/m0/s1"|unknown:XRKSEARZCOMMME-GOTSBHOMSA-N|unknown:"COc1cccc(OC)c1c2ccc(C[C@H](N(C)C(=O)[C@@H]3CCN3S(=O)(=O)c4cc(Cl)cc(Cl)c4)C(=O)O)cc2"|unknown:chembl310480	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Kamenecka et al (2004)	pubmed:15081033	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL815427	chembl:medium(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:220983"	uniprotkb:P13612	-	-	chembl:CHEMBL308124|unknown:"InChI=1S/C28H30Cl2N2O6S/c1-37-25-6-3-7-26(38-2)27(25)19-10-8-18(9-11-19)13-24(28(33)34)31-17-22-5-4-12-32(22)39(35,36)23-15-20(29)14-21(30)16-23/h3,6-11,14-16,22,24,31H,4-5,12-13,17H2,1-2H3,(H,33,34)/t22-,24-/m0/s1"|unknown:AFGDRMBWUCABDD-UPVQGACJSA-N|unknown:"COc1cccc(OC)c1c2ccc(C[C@H](NC[C@@H]3CCCN3S(=O)(=O)c4cc(Cl)cc(Cl)c4)C(=O)O)cc2"|unknown:chembl308124	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Kamenecka et al (2004)	pubmed:15081033	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL815427|chembl:CHEMBL820361	chembl:medium(ChEMBL given confidence)|chembl:low(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:220511"	uniprotkb:P13612	-	-	chembl:CHEMBL75278|unknown:"InChI=1S/C27H28N4O5S/c1-35-23-9-6-10-24(36-2)25(23)19-13-11-18(12-14-19)17-21-27(32)30-29-26(28-21)22-15-16-31(22)37(33,34)20-7-4-3-5-8-20/h3-14,21-22H,15-17H2,1-2H3,(H,28,29)(H,30,32)/t21-,22-/m0/s1"|unknown:FGGLEHVZDZWDHN-VXKWHMMOSA-N|unknown:"COc1cccc(OC)c1c2ccc(C[C@@H]3N=C(NNC3=O)[C@@H]4CCN4S(=O)(=O)c5ccccc5)cc2"|unknown:chembl75278	uniprotkb:ITGA4|uniprotkb:Integrin alpha-4|uniprotkb:CD49 antigen-like family member D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD_antigen=CD49d|uniprotkb:CD49D|chembl:CHEMBL278|unknown:ita4_human	psi-mi:"MI:0401"(biochemical)	Kamenecka et al (2004)	pubmed:15081033	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL815427	chembl:medium(ChEMBL given confidence)|miscore:0.40116468
